"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count"
"North Korean";32;58;11;6;11;2;19;36
"Kim Jong-un";37;47;16;7;9;3;19;113
"United Nations";37;26;37;7;5;7;19;69
"president-elect";37;47;16;7;9;3;19;19
"European";28;28;44;5;5;8;18;33
"Washington, DC";50;17;33;9;3;6;18;25
"Israel";33;33;33;6;6;6;18;32
"London";11;28;61;2;5;11;18;54
"attorney";17;33;50;3;6;9;18;18
"Singapore";17;44;39;3;8;7;18;55
"King";12;59;29;2;10;5;17;17
"February";35;6;59;6;1;10;17;17
"Gov.";18;47;35;3;8;6;17;17
"Director";35;35;29;6;6;5;17;17
"Donald J. Trump";41;47;12;7;8;2;17;110
"Sunday";25;31;44;4;5;7;16;24
"God";31;50;19;5;8;3;16;22
"Democrat";31;44;25;5;7;4;16;17
"director";6;50;44;1;8;7;16;16
"ambassador";13;25;63;2;4;10;16;16
"prime minister";50;25;25;8;4;4;16;16
"English";13;53;33;2;8;5;15;23
"Mexico";33;33;33;5;5;5;15;27
"Paul Ryan";27;47;27;4;7;4;15;138
"France";33;27;40;5;4;6;15;27
"Iran";73;0;27;11;0;4;15;60
"Hollywood";13;47;40;2;7;6;15;23
"Ben Kew";0;87;13;0;13;2;15;16
"bkew@breitbart.com";0;100;0;0;15;0;15;15
"a week";43;36;21;6;5;3;14;14
"Capitol Hill";21;36;43;3;5;6;14;15
"Islamic State";29;7;64;4;1;9;14;79
"Iranian";64;14;21;9;2;3;14;39
"Washington Post";7;57;36;1;8;5;14;17
"Bill Clinton";21;43;36;3;6;5;14;49
"Beijing";14;21;64;2;3;9;14;31
"G7";21;71;7;3;10;1;14;22
"D.C.";36;29;36;5;4;5;14;18
"John Binder";0;23;77;0;3;10;13;19
"executive";23;46;31;3;6;4;13;13
"a month";46;23;31;6;3;4;13;14
"Florida";15;31;54;2;4;7;13;19
"Jewish";54;31;15;7;4;2;13;24
"Mike Pompeo";8;38;54;1;5;7;13;21
"Pyongyang";8;23;69;1;3;9;13;26
"senator";23;46;31;3;6;4;13;13
"State Department";31;15;54;4;2;7;13;23
"Google";38;23;38;5;3;5;13;50
"Islam";31;23;46;4;3;6;13;37
"The New York Times";38;31;31;5;4;4;13;33
"presidents";23;54;23;3;7;3;13;13
"US";31;46;23;4;6;3;13;30
"Governor";31;23;46;4;3;6;13;13
"New York City";42;33;25;5;4;3;12;17
"South Korea";33;25;42;4;3;5;12;27
"GOP";25;33;42;3;4;5;12;26
"Reuters";8;25;67;1;3;8;12;15
"Muslims";58;17;25;7;2;3;12;30
"Middle East";42;17;42;5;2;5;12;20
"Mike Pence";33;67;0;4;8;0;12;45
"Foreign Minister";0;33;67;0;4;8;12;12
"French";25;33;42;3;4;5;12;16
"05-Jun-18";33;17;50;4;2;6;12;14
"Aaron Klein";0;75;25;0;9;3;12;52
"October";33;17;50;4;2;6;12;15
"YouTube";33;25;42;4;3;5;12;14
"Obama";25;42;33;3;5;4;12;22
"Britain";33;33;33;4;4;4;12;34
"Pentagon";17;33;50;2;4;6;12;26
"mayor";55;36;9;6;4;1;11;11
"a decade";36;27;36;4;3;4;11;12
"professor";0;27;73;0;3;8;11;11
"Afghanistan";18;9;73;2;1;8;11;16
